,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Direction
7407,GO:0061738,0.028024085,0.99973718,1,3,late endosomal microautophagy,BP,Down
9595,GO:1902958,0.028106119,0.999735629,1,3,"positive regulation of mitochondrial electron transport, NADH to ubiquinone",BP,Down
6143,GO:0048861,0.028161471,0.99973458,1,3,leukemia inhibitory factor signaling pathway,BP,Down
3338,GO:0031056,0.028267178,0.999732571,1,3,regulation of histone modification,BP,Down
2027,GO:0010310,0.028388131,0.999730262,1,3,regulation of hydrogen peroxide metabolic process,BP,Down
8030,GO:0071895,0.028434377,0.999729377,1,3,odontoblast differentiation,BP,Down
2919,GO:0021569,0.028766103,0.999791898,1,2,rhombomere 3 development,BP,Down
2920,GO:0021570,0.028766103,0.999791898,1,2,rhombomere 4 development,BP,Down
8316,GO:0090045,0.028905563,0.999720274,1,3,positive regulation of deacetylase activity,BP,Down
8874,GO:0101030,0.029131242,0.999715859,1,3,tRNA-guanine transglycosylation,BP,Down
7015,GO:0060512,0.031693504,0.999663282,1,3,prostate gland morphogenesis,BP,Down
311,GO:0001890,0.031778388,0.997316929,2,29,placenta development,BP,Down
2749,GO:0019087,0.032225069,0.999651808,1,3,transformation of host cell by virus,BP,Down
2703,GO:0018243,0.03347473,0.999577474,1,4,protein O-linked glycosylation via threonine,BP,Down
7694,GO:0070842,0.03347473,0.999577474,1,4,aggresome assembly,BP,Down
6744,GO:0060024,0.03347473,0.999577474,1,4,rhythmic synaptic transmission,BP,Down
1559,GO:0007176,0.03347473,0.999577474,1,4,regulation of epidermal growth factor-activated receptor activity,BP,Down
9802,GO:1903599,0.03347473,0.999577474,1,4,positive regulation of autophagy of mitochondrion,BP,Down
3851,GO:0032959,0.03347473,0.999577474,1,4,inositol trisphosphate biosynthetic process,BP,Down
7494,GO:0070120,0.03347473,0.999577474,1,4,ciliary neurotrophic factor-mediated signaling pathway,BP,Down
7687,GO:0070829,0.03347473,0.999577474,1,4,heterochromatin maintenance,BP,Down
2808,GO:0019439,0.03347473,0.999577474,1,4,aromatic compound catabolic process,BP,Down
5810,GO:0046726,0.03347473,0.999577474,1,4,positive regulation by virus of viral protein levels in host cell,BP,Down
662,GO:0002829,0.03347473,0.999577474,1,4,negative regulation of type 2 immune response,BP,Down
6607,GO:0051791,0.03347473,0.999577474,1,4,medium-chain fatty acid metabolic process,BP,Down
7422,GO:0061819,0.033574284,0.999574939,1,4,telomeric DNA-containing double minutes formation,BP,Down
10412,GO:1905765,0.033574284,0.999574939,1,4,negative regulation of protection from non-homologous end joining at telomere,BP,Down
6385,GO:0051151,0.034152645,0.999560058,1,4,negative regulation of smooth muscle cell differentiation,BP,Down
9963,GO:1904109,0.034184815,0.999559223,1,4,positive regulation of cholesterol import,BP,Down
9666,GO:1903170,0.034238991,0.999557815,1,4,negative regulation of calcium ion transmembrane transport,BP,Down
6433,GO:0051284,0.034665872,0.999596612,1,3,positive regulation of sequestering of calcium ion,BP,Down
898,GO:0006032,0.03467298,0.999546449,1,4,chitin catabolic process,BP,Down
5616,GO:0046010,0.034721791,0.999545162,1,4,"positive regulation of circadian sleep/wake cycle, non-REM sleep",BP,Down
9513,GO:1902608,0.034808237,0.999593265,1,3,positive regulation of large conductance calcium-activated potassium channel activity,BP,Down
5537,GO:0045837,0.03526565,0.999530691,1,4,negative regulation of membrane potential,BP,Down
8591,GO:0097214,0.035879676,0.999567627,1,3,positive regulation of lysosomal membrane permeability,BP,Down
2821,GO:0019532,0.036183934,0.999505737,1,4,oxalate transport,BP,Down
8748,GO:0098880,0.036263457,0.999503545,1,4,maintenance of postsynaptic specialization structure,BP,Down
6609,GO:0051793,0.036824256,0.999487947,1,4,medium-chain fatty acid catabolic process,BP,Down
2348,GO:0014061,0.036840817,0.999487483,1,4,regulation of norepinephrine secretion,BP,Down
2789,GO:0019367,0.03699631,0.999483113,1,4,"fatty acid elongation, saturated fatty acid",BP,Down
4180,GO:0034625,0.03699631,0.999483113,1,4,"fatty acid elongation, monounsaturated fatty acid",BP,Down
4181,GO:0034626,0.03699631,0.999483113,1,4,"fatty acid elongation, polyunsaturated fatty acid",BP,Down
1138,GO:0006464,0.037139164,0.996562722,2,34,cellular protein modification process,BP,Down
3146,GO:0030149,0.037180994,0.999477898,1,4,sphingolipid catabolic process,BP,Down
3670,GO:0032496,0.037741948,0.993631693,3,79,response to lipopolysaccharide,BP,Down
3827,GO:0032911,0.03818647,0.999449039,1,4,negative regulation of transforming growth factor beta1 production,BP,Down
1259,GO:0006635,0.039754708,0.996172974,2,36,fatty acid beta-oxidation,BP,Down
9390,GO:1902109,0.040006602,0.999394789,1,4,negative regulation of mitochondrial membrane permeability involved in apoptotic process,BP,Down
3864,GO:0032984,0.040388716,0.99938307,1,4,protein-containing complex disassembly,BP,Down
7686,GO:0070828,0.041668336,0.999299695,1,5,heterochromatin organization,BP,Down
43,GO:0000237,0.041668336,0.999299695,1,5,leptotene,BP,Down
9791,GO:1903575,0.041668336,0.999299695,1,5,cornified envelope assembly,BP,Down
9481,GO:1902474,0.041668339,0.999299695,1,5,positive regulation of protein localization to synapse,BP,Down
2077,GO:0010560,0.041881146,0.999336206,1,4,positive regulation of glycoprotein biosynthetic process,BP,Down
3972,GO:0033522,0.042109686,0.99928465,1,5,histone H2A ubiquitination,BP,Down
6989,GO:0060455,0.042424122,0.999318722,1,4,negative regulation of gastric acid secretion,BP,Down
4014,GO:0033683,0.043220022,0.99924608,1,5,"nucleotide-excision repair, DNA incision",BP,Down
1766,GO:0008284,0.043232074,0.984310539,7,340,positive regulation of cell population proliferation,BP,Down
106,GO:0000578,0.043326792,0.999289144,1,4,embryonic axis specification,BP,Down
1079,GO:0006370,0.043650494,0.99923085,1,5,7-methylguanosine mRNA capping,BP,Down
2127,GO:0010659,0.044260055,0.999209017,1,5,cardiac muscle cell apoptotic process,BP,Down
3810,GO:0032868,0.044808071,0.995385995,2,38,response to insulin,BP,Down
1713,GO:0007617,0.044973888,0.999183054,1,5,mating behavior,BP,Down
3547,GO:0032205,0.045374338,0.999168303,1,5,negative regulation of telomere maintenance,BP,Down
7815,GO:0071286,0.045662762,0.999157594,1,5,cellular response to magnesium ion,BP,Down
6748,GO:0060028,0.045797144,0.999152581,1,5,convergent extension involved in axis elongation,BP,Down
1582,GO:0007204,0.045882381,0.991629031,3,85,positive regulation of cytosolic calcium ion concentration,BP,Down
7607,GO:0070458,0.045908706,0.999201003,1,4,cellular detoxification of nitrogen compound,BP,Down
2340,GO:0014050,0.046039083,0.999143518,1,5,negative regulation of glutamate secretion,BP,Down
2714,GO:0018344,0.046150975,0.999139309,1,5,protein geranylgeranylation,BP,Down
3248,GO:0030514,0.046263326,0.995157218,2,37,negative regulation of BMP signaling pathway,BP,Down
443,GO:0002183,0.047366773,0.999092904,1,5,cytoplasmic translational initiation,BP,Down
1271,GO:0006650,0.047763164,0.999077506,1,5,glycerophospholipid metabolic process,BP,Down
1083,GO:0006382,0.048391231,0.999052837,1,5,adenosine to inosine editing,BP,Down
6600,GO:0051771,0.048401799,0.999052419,1,5,negative regulation of nitric-oxide synthase biosynthetic process,BP,Down
5466,GO:0045668,0.04879147,0.994753369,2,35,negative regulation of osteoblast differentiation,BP,Down
6084,GO:0048704,0.049333221,0.994662853,2,35,embryonic skeletal system morphogenesis,BP,Down
2727,GO:0018916,0.049788421,0.999058663,1,4,nitrobenzene metabolic process,BP,Down
6047,GO:0048639,0.049793076,0.998955365,1,6,positive regulation of developmental growth,BP,Down
6346,GO:0051058,0.049793076,0.998955365,1,6,negative regulation of small GTPase mediated signal transduction,BP,Down
389,GO:0002029,0.049793076,0.998955365,1,6,desensitization of G protein-coupled receptor signaling pathway,BP,Down
6408,GO:0051224,0.049793076,0.998955365,1,6,negative regulation of protein transport,BP,Down
8861,GO:0099590,0.049793076,0.998955365,1,6,neurotransmitter receptor internalization,BP,Down
8776,GO:0098943,0.049793076,0.998955365,1,6,"neurotransmitter receptor transport, postsynaptic endosome to lysosome",BP,Down
10930,GO:2000809,0.04979308,0.998955365,1,6,positive regulation of synaptic vesicle clustering,BP,Down
8567,GO:0097151,0.04979308,0.998955365,1,6,positive regulation of inhibitory postsynaptic potential,BP,Down
6112,GO:0048771,0.049804117,0.998954897,1,6,tissue remodeling,BP,Down
1633,GO:0007338,0.049822742,0.994557275,2,39,single fertilization,BP,Down
2702,GO:0018242,0.049848801,0.998953002,1,6,protein O-linked glycosylation via serine,BP,Down
